Subject,Start Date,End Date,Description,Location
オリエンテーション,2020-03-31,2020-03-31,立命館大学
春学期開始,2020-04-01,2020-04-01,立命館大学
オリエンテーション,2020-04-01,2020-04-01,立命館大学
入学式（衣笠・BKC・OIC）,2020-04-02,2020-04-02,立命館大学
オリエンテーション,2020-04-03,2020-04-03,立命館大学
オリエンテーション,2020-04-04,2020-04-04,立命館大学
春セメスター授業開始,2020-04-06,2020-04-06,立命館大学
統一補講日①,2020-04-25,2020-04-25,立命館大学
祝日授業日／昭和の日,2020-04-29,2020-04-29,立命館大学
休日／みどりの日,2020-05-04,2020-05-04,立命館大学
休日／こどもの日,2020-05-05,2020-05-05,立命館大学
休日／振替休日,2020-05-06,2020-05-06,立命館大学
統一補講日②,2020-05-23,2020-05-23,立命館大学
授業日（水曜日分） *1,2020-06-06,2020-06-06,立命館大学
統一補講日③,2020-06-20,2020-06-20,立命館大学
統一補講日④,2020-07-11,2020-07-11,立命館大学
春セメスター授業終了,2020-07-21,2020-07-21,立命館大学
統一補講日⑤,2020-07-22,2020-07-22,立命館大学
レポート試験統一締切日,2020-07-22,2020-07-22,立命館大学
春セメスター定期試験開始／海の日,2020-07-23,2020-07-23,立命館大学
定期試験日／スポーツの日,2020-07-24,2020-07-24,立命館大学
定期試験日,2020-07-25,2020-07-25,立命館大学
春セメスター定期試験終了,2020-07-31,2020-07-31,立命館大学
定期試験予備日・夏期休暇開始,2020-08-03,2020-08-03,立命館大学
追試験日,2020-08-06,2020-08-06,立命館大学
追試験日,2020-08-07,2020-08-07,立命館大学
追試験予備日,2020-08-08,2020-08-08,立命館大学
再試験（薬学部のみ）,2020-08-18,2020-08-18,立命館大学
再試験（薬学部のみ）,2020-08-19,2020-08-19,立命館大学
再試験（薬学部のみ）,2020-08-20,2020-08-20,立命館大学
再試験（薬学部のみ）,2020-08-21,2020-08-21,立命館大学
再試験予備日（薬学部のみ）,2020-08-22,2020-08-22,立命館大学
夏集中講義（第1週）開始,2020-08-24,2020-08-24,立命館大学
夏集中講義（第1週）終了,2020-08-29,2020-08-29,立命館大学
夏集中講義（第2週）開始,2020-08-31,2020-08-31,立命館大学
春学期卒業合否発表日・成績発表日 *2,2020-09-04,2020-09-04,立命館大学
夏集中講義（第2週）終了,2020-09-05,2020-09-05,立命館大学
夏集中科目（Ⅰ・Ⅱ・Ⅲ）成績発表日 *3,2020-09-18,2020-09-18,立命館大学
秋季卒業式／秋分の日,2020-09-22,2020-09-22,立命館大学
オリエンテーション,2020-09-24,2020-09-24,立命館大学
秋季入学式,2020-09-25,2020-09-25,立命館大学
夏期休暇終了,2020-09-25,2020-09-25,立命館大学
春学期終了,2020-09-25,2020-09-25,立命館大学
Subject,Start Date,End Date,Description,Location
秋学期開始,2020-09-26,2020-09-26,立命館大学
秋セメスター授業開始,2020-09-28,2020-09-28,立命館大学
統一補講日①,2020-10-17,2020-10-17,立命館大学
祝日授業日／文化の日,2020-11-03,2020-11-03,立命館大学
統一補講日②,2020-11-07,2020-11-07,立命館大学
祝日授業日／勤労感謝の日,2020-11-23,2020-11-23,立命館大学
統一補講日③,2020-11-28,2020-11-28,立命館大学
統一補講日④,2020-12-19,2020-12-19,立命館大学
冬期休暇開始,2020-12-26,2020-12-26,立命館大学
冬期休暇終了,2021-01-05,2021-01-05,立命館大学
秋セメスター授業再開,2021-01-06,2021-01-06,立命館大学
授業日（月曜日分） *1,2021-01-09,2021-01-09,立命館大学
休日／成人の日,2021-01-11,2021-01-11,立命館大学
秋セメスター授業終了,2021-01-19,2021-01-19,立命館大学
統一補講日⑤,2021-01-20,2021-01-20,立命館大学
レポート試験統一締切日,2021-01-20,2021-01-20,立命館大学
秋セメスター定期試験開始,2021-01-21,2021-01-21,立命館大学
定期試験日,2021-01-23,2021-01-23,立命館大学
秋セメスター定期試験終了,2021-01-29,2021-01-29,立命館大学
定期試験予備日・春期休暇開始,2021-01-30,2021-01-30,立命館大学
追試験日,2021-02-04,2021-02-04,立命館大学
追試験日,2021-02-05,2021-02-05,立命館大学
追試験予備日,2021-02-06,2021-02-06,立命館大学
卒業合否発表日（薬学部薬学科のみ）,2021-02-15,2021-02-15,立命館大学
再試験（薬学部のみ）,2021-02-16,2021-02-16,立命館大学
再試験（薬学部のみ）,2021-02-17,2021-02-17,立命館大学
再試験（薬学部のみ）,2021-02-18,2021-02-18,立命館大学
再試験（薬学部のみ）,2021-02-19,2021-02-19,立命館大学
再試験予備日（薬学部のみ）,2021-02-20,2021-02-20,立命館大学
秋学期卒業合否発表日・成績発表日 *2,2021-03-05,2021-03-05,立命館大学
冬集中科目成績発表日,2021-03-18,2021-03-18,立命館大学
卒業式（OIC）／春分の日,2021-03-20,2021-03-20,立命館大学
卒業式（衣笠）,2021-03-21,2021-03-21,立命館大学
卒業式（BKC）,2021-03-22,2021-03-22,立命館大学
春期休暇終了,2021-03-31,2021-03-31,立命館大学
秋学期終了,2021-03-31,2021-03-31,立命館大学
Subject,Start Date,End Date,Description,Location
オリエンテーション,2020-03-31,2020-03-31,立命館大学
春学期開始,2020-04-01,2020-04-01,立命館大学
オリエンテーション,2020-04-01,2020-04-01,立命館大学
入学式（衣笠・BKC・OIC）,2020-04-02,2020-04-02,立命館大学
オリエンテーション,2020-04-03,2020-04-03,立命館大学
オリエンテーション,2020-04-04,2020-04-04,立命館大学
春セメスター授業開始,2020-04-06,2020-04-06,立命館大学
統一補講日①,2020-04-25,2020-04-25,立命館大学
祝日授業日／昭和の日,2020-04-29,2020-04-29,立命館大学
休日／みどりの日,2020-05-04,2020-05-04,立命館大学
休日／こどもの日,2020-05-05,2020-05-05,立命館大学
休日／振替休日,2020-05-06,2020-05-06,立命館大学
統一補講日②,2020-05-23,2020-05-23,立命館大学
授業日（水曜日分） *1,2020-06-06,2020-06-06,立命館大学
統一補講日③,2020-06-20,2020-06-20,立命館大学
統一補講日④,2020-07-11,2020-07-11,立命館大学
春セメスター授業終了,2020-07-21,2020-07-21,立命館大学
統一補講日⑤,2020-07-22,2020-07-22,立命館大学
レポート試験統一締切日,2020-07-22,2020-07-22,立命館大学
春セメスター定期試験開始／海の日,2020-07-23,2020-07-23,立命館大学
定期試験日／スポーツの日,2020-07-24,2020-07-24,立命館大学
定期試験日,2020-07-25,2020-07-25,立命館大学
春セメスター定期試験終了,2020-07-31,2020-07-31,立命館大学
定期試験予備日・夏期休暇開始,2020-08-03,2020-08-03,立命館大学
追試験日,2020-08-06,2020-08-06,立命館大学
追試験日,2020-08-07,2020-08-07,立命館大学
追試験予備日,2020-08-08,2020-08-08,立命館大学
再試験（薬学部のみ）,2020-08-18,2020-08-18,立命館大学
再試験（薬学部のみ）,2020-08-19,2020-08-19,立命館大学
再試験（薬学部のみ）,2020-08-20,2020-08-20,立命館大学
再試験（薬学部のみ）,2020-08-21,2020-08-21,立命館大学
再試験予備日（薬学部のみ）,2020-08-22,2020-08-22,立命館大学
夏集中講義（第1週）開始,2020-08-24,2020-08-24,立命館大学
夏集中講義（第1週）終了,2020-08-29,2020-08-29,立命館大学
夏集中講義（第2週）開始,2020-08-31,2020-08-31,立命館大学
春学期卒業合否発表日・成績発表日 *2,2020-09-04,2020-09-04,立命館大学
夏集中講義（第2週）終了,2020-09-05,2020-09-05,立命館大学
夏集中科目（Ⅰ・Ⅱ・Ⅲ）成績発表日 *3,2020-09-18,2020-09-18,立命館大学
秋季卒業式／秋分の日,2020-09-22,2020-09-22,立命館大学
オリエンテーション,2020-09-24,2020-09-24,立命館大学
秋季入学式,2020-09-25,2020-09-25,立命館大学
夏期休暇終了,2020-09-25,2020-09-25,立命館大学
春学期終了,2020-09-25,2020-09-25,立命館大学
Subject,Start Date,End Date,Description,Location
秋学期開始,2020-09-26,2020-09-26,立命館大学
秋セメスター授業開始,2020-09-28,2020-09-28,立命館大学
統一補講日①,2020-10-17,2020-10-17,立命館大学
祝日授業日／文化の日,2020-11-03,2020-11-03,立命館大学
統一補講日②,2020-11-07,2020-11-07,立命館大学
祝日授業日／勤労感謝の日,2020-11-23,2020-11-23,立命館大学
統一補講日③,2020-11-28,2020-11-28,立命館大学
統一補講日④,2020-12-19,2020-12-19,立命館大学
冬期休暇開始,2020-12-26,2020-12-26,立命館大学
冬期休暇終了,2021-01-05,2021-01-05,立命館大学
秋セメスター授業再開,2021-01-06,2021-01-06,立命館大学
授業日（月曜日分） *1,2021-01-09,2021-01-09,立命館大学
休日／成人の日,2021-01-11,2021-01-11,立命館大学
秋セメスター授業終了,2021-01-19,2021-01-19,立命館大学
統一補講日⑤,2021-01-20,2021-01-20,立命館大学
レポート試験統一締切日,2021-01-20,2021-01-20,立命館大学
秋セメスター定期試験開始,2021-01-21,2021-01-21,立命館大学
定期試験日,2021-01-23,2021-01-23,立命館大学
秋セメスター定期試験終了,2021-01-29,2021-01-29,立命館大学
定期試験予備日・春期休暇開始,2021-01-30,2021-01-30,立命館大学
追試験日,2021-02-04,2021-02-04,立命館大学
追試験日,2021-02-05,2021-02-05,立命館大学
追試験予備日,2021-02-06,2021-02-06,立命館大学
卒業合否発表日（薬学部薬学科のみ）,2021-02-15,2021-02-15,立命館大学
再試験（薬学部のみ）,2021-02-16,2021-02-16,立命館大学
再試験（薬学部のみ）,2021-02-17,2021-02-17,立命館大学
再試験（薬学部のみ）,2021-02-18,2021-02-18,立命館大学
再試験（薬学部のみ）,2021-02-19,2021-02-19,立命館大学
再試験予備日（薬学部のみ）,2021-02-20,2021-02-20,立命館大学
秋学期卒業合否発表日・成績発表日 *2,2021-03-05,2021-03-05,立命館大学
冬集中科目成績発表日,2021-03-18,2021-03-18,立命館大学
卒業式（OIC）／春分の日,2021-03-20,2021-03-20,立命館大学
卒業式（衣笠）,2021-03-21,2021-03-21,立命館大学
卒業式（BKC）,2021-03-22,2021-03-22,立命館大学
春期休暇終了,2021-03-31,2021-03-31,立命館大学
秋学期終了,2021-03-31,2021-03-31,立命館大学
Subject,Start Date,End Date,Description,Location
オリエンテーション,2020-03-31,2020-03-31,立命館大学
春学期開始,2020-04-01,2020-04-01,立命館大学
オリエンテーション,2020-04-01,2020-04-01,立命館大学
入学式（衣笠・BKC・OIC）,2020-04-02,2020-04-02,立命館大学
オリエンテーション,2020-04-03,2020-04-03,立命館大学
オリエンテーション,2020-04-04,2020-04-04,立命館大学
春セメスター授業開始,2020-04-06,2020-04-06,立命館大学
統一補講日①,2020-04-25,2020-04-25,立命館大学
祝日授業日／昭和の日,2020-04-29,2020-04-29,立命館大学
休日／みどりの日,2020-05-04,2020-05-04,立命館大学
休日／こどもの日,2020-05-05,2020-05-05,立命館大学
休日／振替休日,2020-05-06,2020-05-06,立命館大学
統一補講日②,2020-05-23,2020-05-23,立命館大学
授業日（水曜日分） *1,2020-06-06,2020-06-06,立命館大学
統一補講日③,2020-06-20,2020-06-20,立命館大学
統一補講日④,2020-07-11,2020-07-11,立命館大学
春セメスター授業終了,2020-07-21,2020-07-21,立命館大学
統一補講日⑤,2020-07-22,2020-07-22,立命館大学
レポート試験統一締切日,2020-07-22,2020-07-22,立命館大学
春セメスター定期試験開始／海の日,2020-07-23,2020-07-23,立命館大学
定期試験日／スポーツの日,2020-07-24,2020-07-24,立命館大学
定期試験日,2020-07-25,2020-07-25,立命館大学
春セメスター定期試験終了,2020-07-31,2020-07-31,立命館大学
定期試験予備日・夏期休暇開始,2020-08-03,2020-08-03,立命館大学
追試験日,2020-08-06,2020-08-06,立命館大学
追試験日,2020-08-07,2020-08-07,立命館大学
追試験予備日,2020-08-08,2020-08-08,立命館大学
再試験（薬学部のみ）,2020-08-18,2020-08-18,立命館大学
再試験（薬学部のみ）,2020-08-19,2020-08-19,立命館大学
再試験（薬学部のみ）,2020-08-20,2020-08-20,立命館大学
再試験（薬学部のみ）,2020-08-21,2020-08-21,立命館大学
再試験予備日（薬学部のみ）,2020-08-22,2020-08-22,立命館大学
夏集中講義（第1週）開始,2020-08-24,2020-08-24,立命館大学
夏集中講義（第1週）終了,2020-08-29,2020-08-29,立命館大学
夏集中講義（第2週）開始,2020-08-31,2020-08-31,立命館大学
春学期卒業合否発表日・成績発表日 *2,2020-09-04,2020-09-04,立命館大学
夏集中講義（第2週）終了,2020-09-05,2020-09-05,立命館大学
夏集中科目（Ⅰ・Ⅱ・Ⅲ）成績発表日 *3,2020-09-18,2020-09-18,立命館大学
秋季卒業式／秋分の日,2020-09-22,2020-09-22,立命館大学
オリエンテーション,2020-09-24,2020-09-24,立命館大学
秋季入学式,2020-09-25,2020-09-25,立命館大学
夏期休暇終了,2020-09-25,2020-09-25,立命館大学
春学期終了,2020-09-25,2020-09-25,立命館大学
Subject,Start Date,End Date,Description,Location
秋学期開始,2020-09-26,2020-09-26,立命館大学
秋セメスター授業開始,2020-09-28,2020-09-28,立命館大学
統一補講日①,2020-10-17,2020-10-17,立命館大学
祝日授業日／文化の日,2020-11-03,2020-11-03,立命館大学
統一補講日②,2020-11-07,2020-11-07,立命館大学
祝日授業日／勤労感謝の日,2020-11-23,2020-11-23,立命館大学
統一補講日③,2020-11-28,2020-11-28,立命館大学
統一補講日④,2020-12-19,2020-12-19,立命館大学
冬期休暇開始,2020-12-26,2020-12-26,立命館大学
冬期休暇終了,2021-01-05,2021-01-05,立命館大学
秋セメスター授業再開,2021-01-06,2021-01-06,立命館大学
授業日（月曜日分） *1,2021-01-09,2021-01-09,立命館大学
休日／成人の日,2021-01-11,2021-01-11,立命館大学
秋セメスター授業終了,2021-01-19,2021-01-19,立命館大学
統一補講日⑤,2021-01-20,2021-01-20,立命館大学
レポート試験統一締切日,2021-01-20,2021-01-20,立命館大学
秋セメスター定期試験開始,2021-01-21,2021-01-21,立命館大学
定期試験日,2021-01-23,2021-01-23,立命館大学
秋セメスター定期試験終了,2021-01-29,2021-01-29,立命館大学
定期試験予備日・春期休暇開始,2021-01-30,2021-01-30,立命館大学
追試験日,2021-02-04,2021-02-04,立命館大学
追試験日,2021-02-05,2021-02-05,立命館大学
追試験予備日,2021-02-06,2021-02-06,立命館大学
卒業合否発表日（薬学部薬学科のみ）,2021-02-15,2021-02-15,立命館大学
再試験（薬学部のみ）,2021-02-16,2021-02-16,立命館大学
再試験（薬学部のみ）,2021-02-17,2021-02-17,立命館大学
再試験（薬学部のみ）,2021-02-18,2021-02-18,立命館大学
再試験（薬学部のみ）,2021-02-19,2021-02-19,立命館大学
再試験予備日（薬学部のみ）,2021-02-20,2021-02-20,立命館大学
秋学期卒業合否発表日・成績発表日 *2,2021-03-05,2021-03-05,立命館大学
冬集中科目成績発表日,2021-03-18,2021-03-18,立命館大学
卒業式（OIC）／春分の日,2021-03-20,2021-03-20,立命館大学
卒業式（衣笠）,2021-03-21,2021-03-21,立命館大学
卒業式（BKC）,2021-03-22,2021-03-22,立命館大学
春期休暇終了,2021-03-31,2021-03-31,立命館大学
秋学期終了,2021-03-31,2021-03-31,立命館大学
